#,#,#,OPERATOR:1,OPERATOR:1,OPERATOR:1,OPERATOR:1,OPERATOR:1,OPERATOR:1,OPERATOR:2,OPERATOR:2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11,
#,#,#,a0,ax,ax2,ay,axy,ay2,X-axis rotation angle,Y-axis rotation angle,Name,File path,Studiable type,Axis name - X,Axis length - X,Axis size - X,Axis spacing - X,Axis name - Y,Axis length - Y,Axis size - Y,Axis spacing - Y,Axis name - Z,Axis length - Z,Axis size - Z,Axis spacing - Z,NM-points ratio - Z,Name,Studiable type,Axis name - X,Axis length - X,Axis size - X,Axis spacing - X,Axis name - Y,Axis length - Y,Axis size - Y,Axis spacing - Y,Axis name - Z,Axis length - Z,Axis size - Z,Axis spacing - Z,NM-points ratio - Z,Length-scale anisotropy (Sfrax) (epLsar),Length-scale anisotropy (NewEplsar),Reg. coefficient R²,Fractal complexity (Asfc),Scale of max complexity (Smfc),HAsfc9 (HAsfc9),HAsfc81 (HAsfc81),
#,#,#,Âµm,Âµm,Âµm,Âµm,Âµm,Âµm,°,°,<no unit>,<no unit>,<no unit>,<no unit>,Âµm,points,Âµm,<no unit>,Âµm,points,Âµm,<no unit>,Âµm,digits,Âµm,%,<no unit>,<no unit>,<no unit>,Âµm,points,Âµm,<no unit>,Âµm,points,Âµm,<no unit>,Âµm,digits,Âµm,%,<no unit>,<no unit>,<no unit>,<no unit>,Âµm²,<no unit>,<no unit>,
2021/01/25,14:57:29,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L5_Ovis_10098_lm2_sin.mnt,9.079453812e-11,-2.058024794e-14,-6.668020636e-17,-1.47335693e-13,1.077882074e-16,3.637772748e-17,-1.79432212e-11,-3.293110507e-12,SSFA-Sheeps_NMPfilled --- L5_Ovis_10098_lm2_sin,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L5_Ovis_10098_lm2_sin.sur,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,20.32743153,315492771,6.44307363e-08,0,SSFA-Sheeps_NMPfilled --- L5_Ovis_10098_lm2_sin > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,20.32743153,315492771,6.44307363e-08,0,0.002497368973,0.01865612926,0.9987851302,10.57108363,13.18123281,1.392910612,2.246877662,
2021/01/25,14:58:03,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L5_Ovis_11723_lm2_sin.mnt,-9.497952035e-12,2.16180119e-14,-6.939258043e-18,7.813707402e-15,-1.582427504e-17,4.318016873e-18,-6.225480902e-13,9.961562016e-13,SSFA-Sheeps_NMPfilled --- L5_Ovis_11723_lm2_sin,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L5_Ovis_11723_lm2_sin.sur,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,5.302136664,271101233,1.955777407e-08,0,SSFA-Sheeps_NMPfilled --- L5_Ovis_11723_lm2_sin > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,5.302136664,271101233,1.955777407e-08,0,0.001207926056,0.01715131292,0.9989063352,2.236939772,2.471172489,0.2792239687,0.7705203453,
2021/01/25,14:58:40,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L5_Ovis_20939_lm2_sin.mnt,1.100812325e-11,-6.370740859e-14,4.690335556e-17,3.585850746e-14,-2.758419389e-18,-2.409612039e-17,3.044679007e-12,-1.611501257e-12,SSFA-Sheeps_NMPfilled --- L5_Ovis_20939_lm2_sin,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L5_Ovis_20939_lm2_sin.sur,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,11.73425998,268968603,4.362687633e-08,0,SSFA-Sheeps_NMPfilled --- L5_Ovis_20939_lm2_sin > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,11.73425998,268968603,4.362687633e-08,0,0.002741180913,0.01843510845,0.9982507803,6.517426079,2.304672325,0.5974030287,2.243069181,
2021/01/25,14:59:16,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L5_Ovis_31042_lm2_sin.mnt,-3.171475479e-10,1.939429333e-12,-9.362845846e-16,-8.212190026e-12,1.221151171e-16,5.074835957e-15,2.588647626e-10,-1.117290309e-10,SSFA-Sheeps_NMPfilled --- L5_Ovis_31042_lm2_sin,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L5_Ovis_31042_lm2_sin.sur,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,7.370311577,193413144,3.810657034e-08,0,SSFA-Sheeps_NMPfilled --- L5_Ovis_31042_lm2_sin > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,7.370311577,193413144,3.810657034e-08,0,0.001527963591,0.01774636867,0.9992552423,2.863681175,4.96411459,0.2960700939,0.8130058735,
2021/01/25,14:59:51,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L5_Ovis_70519_lm2_sin.mnt,2.328762009e-12,-3.845721345e-14,1.451833842e-17,2.394779581e-14,4.649368486e-17,-4.968809384e-17,8.918073835e-12,-7.566660425e-12,SSFA-Sheeps_NMPfilled --- L5_Ovis_70519_lm2_sin,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L5_Ovis_70519_lm2_sin.sur,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,13.32840418,297432788,4.481148252e-08,0,SSFA-Sheeps_NMPfilled --- L5_Ovis_70519_lm2_sin > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,13.32840418,297432788,4.481148252e-08,0,0.00161183366,0.01801825487,0.9990380229,12.03945469,0.8679504928,0.5622825894,1.548061886,
2021/01/25,15:00:25,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L5_Ovis_80140_lm2_sin.mnt,-2.404378872e-11,4.761201124e-14,-2.394698439e-17,5.536562199e-14,-5.256969987e-18,-3.294410766e-17,2.851479492e-12,1.013128767e-13,SSFA-Sheeps_NMPfilled --- L5_Ovis_80140_lm2_sin,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L5_Ovis_80140_lm2_sin.sur,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,4.23678682,154294374,2.745911409e-08,0,SSFA-Sheeps_NMPfilled --- L5_Ovis_80140_lm2_sin > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,4.23678682,154294374,2.745911409e-08,0,0.00255723947,0.01744671518,0.9990944353,2.776346432,0.7040659359,0.2441171874,0.8005582883,
2021/01/25,15:00:58,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L5_Ovis_80307_lm2_sin.mnt,2.224445758e-11,-8.623933467e-16,5.287036475e-18,-4.679946469e-14,3.219924173e-18,1.478771017e-17,4.36511891e-12,-9.497363431e-12,SSFA-Sheeps_NMPfilled --- L5_Ovis_80307_lm2_sin,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L5_Ovis_80307_lm2_sin.sur,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,7.563992221,219578648,3.444775842e-08,0,SSFA-Sheeps_NMPfilled --- L5_Ovis_80307_lm2_sin > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,7.563992221,219578648,3.444775842e-08,0,0.006248850204,0.020194359,0.9981115521,1.769674314,0.4029603757,0.4946464452,1.344782923,
2021/01/25,15:01:34,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L5_Ovis_8045_lm2_sin.mnt,-2.725725044e-11,6.36289554e-14,7.861430286e-19,3.655793339e-14,-5.133095512e-17,-1.708598863e-17,1.113314212e-11,-1.319439224e-11,SSFA-Sheeps_NMPfilled --- L5_Ovis_8045_lm2_sin,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L5_Ovis_8045_lm2_sin.sur,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,13.13439563,237743594,5.524605484e-08,0,SSFA-Sheeps_NMPfilled --- L5_Ovis_8045_lm2_sin > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,13.13439563,237743594,5.524605484e-08,0,0.003363863486,0.0186411527,0.9990944618,7.391159844,8.089075974,1.594739528,2.713974409,
2021/01/25,15:02:10,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L5_Ovis_80729_lm2_sin.mnt,-4.777786855e-11,8.09029137e-14,-4.489096136e-17,9.713343094e-14,-5.920616018e-18,-6.514108001e-17,2.990682697e-12,-3.741423703e-12,SSFA-Sheeps_NMPfilled --- L5_Ovis_80729_lm2_sin,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L5_Ovis_80729_lm2_sin.sur,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,9.184698635,305134008,3.010054073e-08,0,SSFA-Sheeps_NMPfilled --- L5_Ovis_80729_lm2_sin > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,9.184698635,305134008,3.010054073e-08,0,0.002936613867,0.01879094063,0.9971469768,2.979608517,0.2005966173,0.4764487463,0.9200220785,
2021/01/25,15:02:47,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L5_Ovis_90287_lm2_sin.mnt,-7.955004908e-11,1.807506221e-13,-1.067186522e-16,3.700577584e-14,3.138416853e-17,-3.218949095e-17,1.761487405e-11,5.078802754e-12,SSFA-Sheeps_NMPfilled --- L5_Ovis_90287_lm2_sin,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L5_Ovis_90287_lm2_sin.sur,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,13.0606878,263288652,4.960596556e-08,0,SSFA-Sheeps_NMPfilled --- L5_Ovis_90287_lm2_sin > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,13.0606878,263288652,4.960596556e-08,0,0.0003988616117,0.01764819729,0.9992354141,11.4752327,1.869509022,0.7906935246,1.465227048,
#,#,#,nm,nm,nm,nm,nm,nm,°,°,<no unit>,<no unit>,<no unit>,<no unit>,µm,points,µm,<no unit>,µm,points,µm,<no unit>,nm,digits,nm,%,<no unit>,<no unit>,<no unit>,µm,points,µm,<no unit>,µm,points,µm,<no unit>,nm,digits,nm,%,<no unit>,<no unit>,<no unit>,<no unit>,µm²,<no unit>,<no unit>,
2021/01/25,15:03:25,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L6-Ovis-10106-lm2sin-a.mnt,1.482905141e-06,-4.232440436e-09,2.5789731e-12,-2.750819303e-10,2.691870739e-13,4.587981982e-14,-2.766210047e-13,2.6615246e-12,SSFA-Sheeps_NMPfilled --- L6-Ovis-10106-lm2sin-a,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L6-Ovis-10106-lm2sin-a.sur,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,9094.528743,9094529,0.0009999999717,0,SSFA-Sheeps_NMPfilled --- L6-Ovis-10106-lm2sin-a > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,9094.528743,9094529,0.0009999999717,0,0.002015098422,0.01777668228,0.9986299366,4.025461282,0.7053243869,0.5745940106,0.9623382569,
2021/01/25,15:04:04,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L6-Ovis-11707-lm2sin-a.mnt,8.573354091e-08,3.0171431e-12,-7.528854359e-14,-3.022228099e-10,1.47908736e-13,1.205197273e-13,8.723505903e-14,-2.14860291e-14,SSFA-Sheeps_NMPfilled --- L6-Ovis-11707-lm2sin-a,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L6-Ovis-11707-lm2sin-a.sur,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,4238.809257,42388092,0.0001000000013,0,SSFA-Sheeps_NMPfilled --- L6-Ovis-11707-lm2sin-a > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,4238.809257,42388092,0.0001000000013,0,0.001374148085,0.01731278487,0.9992220177,3.370453436,0.869501872,0.3665928083,0.6931811469,
2021/01/25,15:04:43,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L6-Ovis-20094-lm2sin-a.mnt,-1.973259949e-07,1.540983766e-10,7.299296463e-15,3.340991242e-10,-2.13178749e-13,-1.07857107e-13,1.207730973e-13,2.845298832e-13,SSFA-Sheeps_NMPfilled --- L6-Ovis-20094-lm2sin-a,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L6-Ovis-20094-lm2sin-a.sur,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,6011.01178,60110117,0.0001000000013,0,SSFA-Sheeps_NMPfilled --- L6-Ovis-20094-lm2sin-a > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,6011.01178,60110117,0.0001000000013,0,0.001598970816,0.01758878535,0.998959671,5.623537426,0.4328443807,0.4132042531,0.9724676261,
2021/01/25,15:05:20,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L6-Ovis-21376-lm2sin-a.mnt,-3.045135339e-06,5.581775857e-09,-3.449860826e-12,2.701196213e-09,-2.61092079e-13,-1.611711095e-12,-1.045916675e-12,-2.697182264e-13,SSFA-Sheeps_NMPfilled --- L6-Ovis-21376-lm2sin-a,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L6-Ovis-21376-lm2sin-a.sur,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,13333.97462,13333975,0.0009999999717,0,SSFA-Sheeps_NMPfilled --- L6-Ovis-21376-lm2sin-a > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,13333.97462,13333975,0.0009999999717,0,0.002319587693,0.01772829343,0.9980742265,6.294519503,0.6134810504,0.4898209223,1.166893765,
2021/01/25,15:05:55,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L6-Ovis-70379-lm2sin-a.mnt,-4.507282457e-08,9.609373319e-11,-9.043067822e-14,9.366689662e-11,5.74811922e-14,-8.943417009e-14,-1.911939377e-13,-5.357792787e-14,SSFA-Sheeps_NMPfilled --- L6-Ovis-70379-lm2sin-a,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L6-Ovis-70379-lm2sin-a.sur,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,3711.48635,37114863,0.0001000000013,0,SSFA-Sheeps_NMPfilled --- L6-Ovis-70379-lm2sin-a > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,3711.48635,37114863,0.0001000000013,0,0.004003783605,0.01613178951,0.9983478885,2.566894033,0.2848187271,0.2533298612,0.7570702786,
2021/01/25,15:06:31,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L6-Ovis-80147-lm2sin-a.mnt,-6.736131185e-07,1.943260158e-09,-1.212664326e-12,-3.79855269e-10,-7.427776515e-14,2.804844093e-13,-2.69389083e-12,-1.349505431e-12,SSFA-Sheeps_NMPfilled --- L6-Ovis-80147-lm2sin-a,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L6-Ovis-80147-lm2sin-a.sur,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,9516.807731,9516808,0.0009999999717,0,SSFA-Sheeps_NMPfilled --- L6-Ovis-80147-lm2sin-a > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,9516.807731,9516808,0.0009999999717,0,0.002164641667,0.0184560074,0.9972995369,5.366511868,0.5721465437,0.5831522012,1.128906332,
2021/01/25,15:07:05,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L6-Ovis-80288-lm2sin-a.mnt,-1.907824717e-07,3.2333457e-10,-1.786104795e-13,4.134831518e-10,-5.786636874e-14,-2.376600894e-13,-6.409290866e-14,-1.142873888e-14,SSFA-Sheeps_NMPfilled --- L6-Ovis-80288-lm2sin-a,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L6-Ovis-80288-lm2sin-a.sur,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,7053.343094,70533430,0.0001000000013,0,SSFA-Sheeps_NMPfilled --- L6-Ovis-80288-lm2sin-a > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,7053.343094,70533430,0.0001000000013,0,0.001964860107,0.01760359512,0.9972427458,2.255922934,3.762199924,0.5700520843,1.161245412,
2021/01/25,15:07:38,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L6-Ovis-80748-lm2sin-a.mnt,-6.942591376e-07,-4.774435612e-10,1.326072695e-12,2.280640712e-09,-2.054233881e-12,-4.374980306e-13,-3.561721433e-13,9.60014026e-14,SSFA-Sheeps_NMPfilled --- L6-Ovis-80748-lm2sin-a,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L6-Ovis-80748-lm2sin-a.sur,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,7887.751777,7887752,0.0009999999717,0,SSFA-Sheeps_NMPfilled --- L6-Ovis-80748-lm2sin-a > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,7887.751777,7887752,0.0009999999717,0,0.008242304939,0.01809470653,0.9984379394,3.196936703,1.416862277,0.3639931278,1.020091096,
2021/01/25,15:08:11,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L6-Ovis-90074-lm2sin-a.mnt,-2.221007525e-09,2.071672e-10,-1.237355359e-13,-7.523059431e-11,-1.756194209e-14,5.738851046e-14,2.352182628e-13,1.033157995e-14,SSFA-Sheeps_NMPfilled --- L6-Ovis-90074-lm2sin-a,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L6-Ovis-90074-lm2sin-a.sur,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,3957.626653,39576266,0.0001000000013,0,SSFA-Sheeps_NMPfilled --- L6-Ovis-90074-lm2sin-a > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,201.1149743,1561,0.1289198553,Y,200.1286055,1551,0.1291152294,Z,3957.626653,39576266,0.0001000000013,0,0.001314585174,0.0180213882,0.9980580549,2.583375946,0.3053953463,0.5475636663,1.085502078,
